subid,tr.num,gaze_condition,correct,age,age_group,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
44,5,gaze,0,NA,4,bottle,0.3039999999999994,gaze,0.3,guess,0,0.06999999999999995,cs,0.5
6,20,gaze,0,1507,4,shoe,0.3039999999999994,gaze,0.3,guess,0,0.07999999999999996,cs,0.49
44,1,gaze,0,NA,4,juice,0.30400000000000027,gaze,0.3,guess,0,0.07999999999999996,cs,0.49
13,26,gaze,0,1480,4,shoe,0.3049999999999997,gaze,0.3,guess,0,0.08999999999999997,cs,0.48
34,20,gaze,0,2016,5,juice,0.3050000000000006,gaze,0.31,guess,0,0.08999999999999997,cs,0.48
6,30,gaze,0,1507,4,juice,0.3050000000000006,gaze,0.31,guess,0,0.09999999999999998,cs,0.47
9,11,gaze,0,1955,5,ball,0.30600000000000005,gaze,0.31,guess,0,0.09999999999999998,cs,0.47
31,9,gaze,0,1976,5,boat,0.3070000000000004,gaze,0.31,guess,0,0.10999999999999993,cs,0.46
31,6,gaze,1,1976,5,juice,0.30799999999999983,gaze,0.31,guess,0,0.09999999999999998,cs,0.47
34,19,gaze,0,2016,5,boat,0.3089999999999993,gaze,0.31,guess,0,0.09999999999999998,cs,0.47
24,15,gaze,1,2149,5,ball,0.30900000000000016,gaze,0.31,guess,0,0.09999999999999998,cs,0.47
28,16,gaze,0,1086,2,bottle,0.30900000000000016,gaze,0.31,guess,0,0.09999999999999998,cs,0.47
4,30,gaze,1,1804,4,ball,0.30900000000000016,gaze,0.31,guess,0,0.09999999999999998,cs,0.47
16,11,gaze,1,1741,4,juice,0.3100000000000005,gaze,0.31,guess,0,0.08999999999999997,cs,0.48
24,6,gaze,0,2149,5,juice,0.3100000000000005,gaze,0.31,guess,0,0.09999999999999998,cs,0.47
44,16,gaze,1,NA,4,shoe,0.3330000000000002,gaze,0.33,guess,0,0.08999999999999997,cs,0.48
21,21,gaze,1,1835,5,bunny,0.33499999999999996,gaze,0.34,guess,0,0.08999999999999997,cs,0.48
25,15,gaze,1,1929,5,bunny,0.33499999999999996,gaze,0.34,guess,0,0.07999999999999996,cs,0.49
26,13,gaze,1,1789,4,bunny,0.33499999999999996,gaze,0.34,guess,0,0.07999999999999996,cs,0.49
8,1,gaze,0,1395,3,bunny,0.33499999999999996,gaze,0.34,guess,0,0.07999999999999996,cs,0.49
6,18,gaze,0,1507,4,cookie,0.3359999999999994,gaze,0.34,guess,0,0.08999999999999997,cs,0.48
31,4,gaze,1,1976,5,bottle,0.33699999999999974,gaze,0.34,guess,0,0.07999999999999996,cs,0.49
34,17,gaze,1,2016,5,bottle,0.33699999999999974,gaze,0.34,guess,0,0.07999999999999996,cs,0.49
9,14,gaze,0,1955,5,bottle,0.33699999999999974,gaze,0.34,guess,0,0.07999999999999996,cs,0.49
12,5,gaze,0,1406,3,shoe,0.3380000000000001,gaze,0.34,guess,0,0.08999999999999997,cs,0.48
6,29,gaze,0,1507,4,chicken,0.33999999999999986,gaze,0.34,guess,0,0.08999999999999997,cs,0.48
8,5,gaze,0,1395,3,shoe,0.33999999999999986,gaze,0.34,guess,0,0.09999999999999998,cs,0.47
19,17,gaze,1,1664,4,boat,0.34000000000000075,gaze,0.34,guess,0,0.08999999999999997,cs,0.48
27,19,gaze,1,1163,3,boat,0.34000000000000075,gaze,0.34,guess,0,0.08999999999999997,cs,0.48
6,22,gaze,0,1507,4,chicken,0.3409999999999993,gaze,0.34,guess,0,0.08999999999999997,cs,0.48
31,5,gaze,1,1976,5,boat,0.3410000000000002,gaze,0.34,guess,0,0.08999999999999997,cs,0.48
41,32,gaze,1,NA,4,juice,0.3410000000000002,gaze,0.34,guess,0,0.07999999999999996,cs,0.49
3,14,gaze,1,1914,5,boat,0.34199999999999964,gaze,0.34,guess,0,0.06999999999999995,cs,0.5
13,27,gaze,1,1480,4,ball,0.3420000000000005,gaze,0.34,guess,0,0.06999999999999995,cs,0.5
25,6,gaze,0,1929,5,chicken,0.3420000000000005,gaze,0.34,guess,0,0.06999999999999995,cs,0.5
45,3,gaze,0,NA,3,ball,0.3420000000000005,gaze,0.34,guess,0,0.07999999999999996,cs,0.49
38,20,gaze,1,1933,5,boat,0.34299999999999997,gaze,0.34,guess,0,0.06999999999999995,cs,0.5
41,24,gaze,1,NA,4,bunny,0.3680000000000003,gaze,0.37,guess,0,0.06999999999999995,cs,0.5
6,19,gaze,0,1507,4,bunny,0.3689999999999998,gaze,0.37,guess,0,0.06999999999999995,cs,0.5
19,24,gaze,1,1664,4,chicken,0.3699999999999992,gaze,0.37,guess,0,0.06999999999999995,cs,0.5
38,18,gaze,1,1933,5,bottle,0.3699999999999992,gaze,0.37,guess,0,0.05999999999999994,cs,0.51
33,22,gaze,1,1637,4,cookie,0.3700000000000001,gaze,0.37,guess,0,0.05999999999999994,cs,0.51
10,19,gaze,1,1373,3,shoe,0.3730000000000002,gaze,0.37,guess,0,0.04999999999999993,cs,0.52
44,10,gaze,0,NA,4,ball,0.3730000000000002,gaze,0.37,guess,0,0.05999999999999994,cs,0.51
32,4,gaze,0,1751,4,boat,0.37400000000000055,gaze,0.37,guess,0,0.06999999999999995,cs,0.5
36,1,gaze,1,1277,3,boat,0.37400000000000055,gaze,0.37,guess,0,0.05999999999999994,cs,0.51
41,18,gaze,1,NA,4,boat,0.37400000000000055,gaze,0.37,guess,0,0.05999999999999994,cs,0.51
16,6,gaze,1,1741,4,bottle,0.375,gaze,0.38,guess,0,0.04999999999999993,cs,0.52
3,7,gaze,0,1914,5,ball,0.375,gaze,0.38,guess,0,0.05999999999999994,cs,0.51
31,13,gaze,0,1976,5,chicken,0.375,gaze,0.38,guess,0,0.05999999999999994,cs,0.51
44,4,gaze,1,NA,4,chicken,0.375,gaze,0.38,guess,0,0.05999999999999994,cs,0.51
9,7,gaze,1,1955,5,bunny,0.40199999999999925,gaze,0.4,guess,0,0.04999999999999993,cs,0.52
12,2,gaze,0,1406,3,cookie,0.40200000000000014,gaze,0.4,guess,0,0.05999999999999994,cs,0.51
14,28,gaze,1,1843,5,bunny,0.40200000000000014,gaze,0.4,guess,0,0.04999999999999993,cs,0.52
27,17,gaze,1,1163,3,bunny,0.40200000000000014,gaze,0.4,guess,0,0.04999999999999993,cs,0.52
32,5,gaze,1,1751,4,bunny,0.40200000000000014,gaze,0.4,guess,0,0.039999999999999925,cs,0.53
34,28,gaze,1,2016,5,cookie,0.40200000000000014,gaze,0.4,guess,0,0.039999999999999925,cs,0.53
38,22,gaze,1,1933,5,bunny,0.40200000000000014,gaze,0.4,guess,0,0.029999999999999916,cs,0.54
33,32,gaze,0,1637,4,bottle,0.4029999999999996,gaze,0.4,guess,0,0.039999999999999925,cs,0.53
24,10,gaze,1,2149,5,cookie,0.40300000000000047,gaze,0.4,guess,0,0.029999999999999916,cs,0.54
29,20,gaze,0,1334,3,cookie,0.40300000000000047,gaze,0.4,guess,0,0.039999999999999925,cs,0.53
5,22,gaze,0,1873,5,cookie,0.40300000000000047,gaze,0.4,guess,0,0.039999999999999925,cs,0.53
8,3,gaze,1,1395,3,cookie,0.40300000000000047,gaze,0.4,guess,0,0.039999999999999925,cs,0.53
12,3,gaze,1,1406,3,juice,0.4039999999999999,gaze,0.4,guess,0,0.029999999999999916,cs,0.54
27,30,gaze,0,1163,3,chicken,0.4039999999999999,gaze,0.4,guess,0,0.039999999999999925,cs,0.53
33,23,gaze,1,1637,4,chicken,0.4039999999999999,gaze,0.4,guess,0,0.029999999999999916,cs,0.54
41,17,gaze,0,NA,4,chicken,0.4039999999999999,gaze,0.4,guess,0,0.039999999999999925,cs,0.53
19,26,gaze,0,1664,4,ball,0.4059999999999997,gaze,0.41,guess,0,0.04999999999999993,cs,0.52
23,18,gaze,1,1971,5,ball,0.4059999999999997,gaze,0.41,guess,0,0.039999999999999925,cs,0.53
42,8,gaze,1,NA,3,ball,0.4059999999999997,gaze,0.41,guess,0,0.039999999999999925,cs,0.53
9,16,gaze,1,1955,5,ball,0.4060000000000006,gaze,0.41,guess,0,0.029999999999999916,cs,0.54
16,7,gaze,1,1741,4,boat,0.40700000000000003,gaze,0.41,guess,0,0.029999999999999916,cs,0.54
21,23,gaze,1,1835,5,chicken,0.4079999999999995,gaze,0.41,guess,0,0.019999999999999907,cs,0.55
34,31,gaze,1,2016,5,ball,0.4079999999999995,gaze,0.41,guess,0,0.019999999999999907,cs,0.55
