subid,tr.num,condition_long,correct,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
20,61,gaze_clear,1,boat,0.4400000000000004,gaze_clear,0.44,response,1,0.09999999999999998,cs,0.7
21,40,gaze_clear,1,ball,0.4400000000000004,gaze_clear,0.44,response,1,0.09999999999999998,cs,0.7
3,30,gaze_clear,1,boat,0.4400000000000004,gaze_clear,0.44,response,1,0.09999999999999998,cs,0.7
17,7,gaze_clear,1,boat,0.44200000000000017,gaze_clear,0.44,response,1,0.10999999999999999,cs,0.71
33,34,gaze_clear,1,chicken,0.44200000000000017,gaze_clear,0.44,response,1,0.10999999999999999,cs,0.71
4,5,gaze_clear,1,bottle,0.44200000000000017,gaze_clear,0.44,response,1,0.10999999999999999,cs,0.71
4,6,gaze_clear,1,boat,0.44200000000000017,gaze_clear,0.44,response,1,0.10999999999999999,cs,0.71
4,10,gaze_clear,1,ball,0.44200000000000017,gaze_clear,0.44,response,1,0.12,cs,0.72
6,6,gaze_clear,0,boat,0.44200000000000017,gaze_clear,0.44,response,1,0.10999999999999999,cs,0.71
7,8,gaze_clear,1,boat,0.44200000000000017,gaze_clear,0.44,response,1,0.10999999999999999,cs,0.71
8,14,gaze_clear,1,boat,0.44200000000000017,gaze_clear,0.44,response,1,0.12,cs,0.72
11,28,gaze_clear,1,juice,0.4430000000000005,gaze_clear,0.44,response,1,0.12,cs,0.72
22,32,gaze_clear,1,juice,0.4430000000000005,gaze_clear,0.44,response,1,0.12,cs,0.72
2,37,gaze_clear,1,shoe,0.46699999999999964,gaze_clear,0.47,response,1,0.12,cs,0.72
10,59,gaze_clear,1,shoe,0.46799999999999997,gaze_clear,0.47,response,1,0.13,cs,0.73
3,31,gaze_clear,1,cookie,0.4689999999999994,gaze_clear,0.47,response,1,0.13,cs,0.73
34,19,gaze_clear,1,cookie,0.4689999999999994,gaze_clear,0.47,response,1,0.13,cs,0.73
9,60,gaze_clear,1,cookie,0.4690000000000003,gaze_clear,0.47,response,1,0.14,cs,0.74
12,34,gaze_clear,1,bottle,0.46999999999999975,gaze_clear,0.47,response,1,0.14,cs,0.74
26,33,gaze_clear,1,bottle,0.46999999999999975,gaze_clear,0.47,response,1,0.14,cs,0.74
27,52,gaze_clear,1,bottle,0.46999999999999975,gaze_clear,0.47,response,1,0.14,cs,0.74
6,3,gaze_clear,0,bottle,0.46999999999999975,gaze_clear,0.47,response,1,0.14,cs,0.74
15,32,gaze_clear,1,bottle,0.4710000000000001,gaze_clear,0.47,response,1,0.14,cs,0.74
24,38,gaze_clear,1,shoe,0.4710000000000001,gaze_clear,0.47,response,1,0.14,cs,0.74
3,22,gaze_clear,1,shoe,0.47199999999999953,gaze_clear,0.47,response,1,0.14,cs,0.74
4,9,gaze_clear,1,ball,0.4720000000000004,gaze_clear,0.47,response,1,0.15000000000000002,cs,0.75
12,37,gaze_clear,0,ball,0.47299999999999986,gaze_clear,0.47,response,1,0.14,cs,0.74
20,56,gaze_clear,1,chicken,0.47299999999999986,gaze_clear,0.47,response,1,0.14,cs,0.74
24,41,gaze_clear,1,ball,0.47299999999999986,gaze_clear,0.47,response,1,0.14,cs,0.74
28,56,gaze_clear,1,ball,0.47299999999999986,gaze_clear,0.47,response,1,0.15000000000000002,cs,0.75
9,52,gaze_clear,1,ball,0.47299999999999986,gaze_clear,0.47,response,1,0.15000000000000002,cs,0.75
10,54,gaze_clear,1,boat,0.4740000000000002,gaze_clear,0.47,response,1,0.15000000000000002,cs,0.75
14,44,gaze_clear,1,boat,0.4740000000000002,gaze_clear,0.47,response,1,0.15000000000000002,cs,0.75
4,16,gaze_clear,1,juice,0.4740000000000002,gaze_clear,0.47,response,1,0.16000000000000003,cs,0.76
15,27,gaze_clear,1,ball,0.47500000000000053,gaze_clear,0.48,response,1,0.16000000000000003,cs,0.76
28,51,gaze_clear,1,bottle,0.47500000000000053,gaze_clear,0.48,response,1,0.16000000000000003,cs,0.76
5,14,gaze_clear,1,bottle,0.47500000000000053,gaze_clear,0.48,response,1,0.16000000000000003,cs,0.76
7,5,gaze_clear,1,bottle,0.47500000000000053,gaze_clear,0.48,response,1,0.17000000000000004,cs,0.77
8,2,gaze_clear,1,ball,0.47500000000000053,gaze_clear,0.48,response,1,0.17000000000000004,cs,0.77
24,46,gaze_clear,1,cookie,0.476,gaze_clear,0.48,response,1,0.17000000000000004,cs,0.77
28,58,gaze_clear,1,boat,0.476,gaze_clear,0.48,response,1,0.17000000000000004,cs,0.77
31,52,gaze_clear,0,boat,0.476,gaze_clear,0.48,response,1,0.17000000000000004,cs,0.77
15,21,gaze_clear,1,bunny,0.5009999999999994,gaze_clear,0.5,response,1,0.17000000000000004,cs,0.77
12,42,gaze_clear,0,bunny,0.5019999999999998,gaze_clear,0.5,response,1,0.16000000000000003,cs,0.76
10,57,gaze_clear,1,bottle,0.5030000000000001,gaze_clear,0.5,response,1,0.16000000000000003,cs,0.76
22,22,gaze_clear,0,cookie,0.5030000000000001,gaze_clear,0.5,response,1,0.15000000000000002,cs,0.75
7,14,gaze_clear,1,bottle,0.5030000000000001,gaze_clear,0.5,response,1,0.16000000000000003,cs,0.76
8,13,gaze_clear,1,cookie,0.5030000000000001,gaze_clear,0.5,response,1,0.16000000000000003,cs,0.76
14,39,gaze_clear,1,shoe,0.5039999999999996,gaze_clear,0.5,response,1,0.16000000000000003,cs,0.76
30,31,gaze_clear,0,bottle,0.5049999999999999,gaze_clear,0.5,response,1,0.15000000000000002,cs,0.75
14,37,gaze_clear,1,ball,0.5060000000000002,gaze_clear,0.51,response,1,0.16000000000000003,cs,0.76
27,54,gaze_clear,0,chicken,0.5060000000000002,gaze_clear,0.51,response,1,0.15000000000000002,cs,0.75
30,19,gaze_clear,1,shoe,0.5060000000000002,gaze_clear,0.51,response,1,0.15000000000000002,cs,0.75
20,49,gaze_clear,1,chicken,0.5069999999999997,gaze_clear,0.51,response,1,0.15000000000000002,cs,0.75
27,64,gaze_clear,1,boat,0.5070000000000006,gaze_clear,0.51,response,1,0.16000000000000003,cs,0.76
14,38,gaze_clear,1,chicken,0.508,gaze_clear,0.51,response,1,0.16000000000000003,cs,0.76
18,3,gaze_clear,1,boat,0.508,gaze_clear,0.51,response,1,0.16000000000000003,cs,0.76
34,17,gaze_clear,1,boat,0.508,gaze_clear,0.51,response,1,0.16000000000000003,cs,0.76
9,57,gaze_clear,1,juice,0.508,gaze_clear,0.51,response,1,0.17000000000000004,cs,0.77
13,17,gaze_clear,0,bottle,0.5090000000000003,gaze_clear,0.51,response,1,0.16000000000000003,cs,0.76
