stimulus_name,stimulus,stimulus_type,order_age,trial_num_exp,order_name
ol_sa_toma_nonoise_hey,fea73ddebacab162c1dd6ab2c037be32_1920x1080,Composite,adult,10,gaze_nogaze_ol_gr
ol_dr_toma_nonoise_hey,a490e7a40e288b9bc01054fe98164981_1920x1080,Composite,adult,11,gaze_nogaze_ol_gr
ol_sa_toma_nonoise_look,12e2c34cfbbecb10e50928d535f4a0ee_1920x1080,Composite,adult,12,gaze_nogaze_ol_gr
ol_dr_toma_nonoise_hey,a893ab3d7a50c62ba6ce05afd8ae31ca_1920x1080,Composite,adult,13,gaze_nogaze_ol_gr
ol_sa_toma_nonoise_look,300f26aad563c61fbd1211fb6d7fcdf0_1920x1080,Composite,adult,14,gaze_nogaze_ol_gr
ol_dl_toma_nonoise_look,57864ba956f64e97bb2045a1ceef7f98_1920x1080,Composite,adult,15,gaze_nogaze_ol_gr
ol_sa_toma_nonoise_hey,f021e5c9d0eb3569ce9fbacbc2ee47d8_1920x1080,Composite,adult,16,gaze_nogaze_ol_gr
gr_sa_bottle_nonoise_look,2501a6ecbb85880234d5fad1010d8b19_1920x1080,Composite,adult,16,gaze_nogaze_ol_gr
gr_sa_bosa_nonoise_look,a6663180c30e9c578b9a72e8c446d8f3_1920x1080,Composite,adult,17,gaze_nogaze_ol_gr
gr_sa_bosa_nonoise_hey,cb36bb4065cef9a66c54c321d13c8105_1920x1080,Composite,adult,18,gaze_nogaze_ol_gr
gr_sa_bosa_nonoise_hey,5cf132574735912cd47a7ceb1e4f4699_1920x1080,Composite,adult,19,gaze_nogaze_ol_gr
gr_sa_bosa_nonoise_look,e3790676867cc35c6215099b785be5ff_1920x1080,Composite,adult,20,gaze_nogaze_ol_gr
gr_sa_bosa_nonoise_hey,ccfd578d698a0aef0bc8b8a3227907aa_1920x1080,Composite,adult,21,gaze_nogaze_ol_gr
gr_sa_bosa_nonoise_look,1df277cbb57189960b7c0d5847d7be42_1920x1080,Composite,adult,22,gaze_nogaze_ol_gr
