left_image,right_image,target_image,stimulus,center,stimulus_name,finished?,noun,noun_type,frequency,speaker,gaze,noise_condition,carrier,sentence_onset_sec,sentence_onset_frames,carrier_onset_sec,carrier_onset_frames,noun_onset_sec,noun_onset_frames,noun_offset_sec,noun_offset_frames,sentence_offset_sec,sentence_offset_frames,gaze_onset_sec,gaze_onset_frames,gaze_offset_sec,gaze_offset_frames,trial_onset,trial_offset_sec,trial_offset_frames,gaze_condition,condition_long
ball,shoe,shoe,1895c14c39df5415aad3d403ce2fc155_1920x1080,face,gr_dr_shoe_nonoise_hey,yes,shoe,familiar,high,gr,down_right,no_noise,hey,2,29,5,1,6,0,6,19,6,19,6,28,8,24,0,10,24,gaze,no_noise_gaze
boat,juice,juice,1905366ff0c92683d2527ae83431b02f_1920x1080,face,gr_sa_juice_nonoise_hey,yes,juice,familiar,high,gr,straight_ahead,no_noise,hey,3,3,4,23,5,26,6,18,6,18,NA,NA,NA,NA,0,8,17,no_gaze,no_noise_no_gaze
bottle,cookie,bottle,20eee6cde3c6ff7a8bf0092b67af7dee_1920x1080,face,ol_dl_bottle_nonoise_hey,yes,bottle,familiar,high,ol,down_left,no_noise,hey,3,7,4,21,5,26,6,12,6,12,6,22,8,15,0,10,15,gaze,no_noise_gaze
boat,juice,boat,23aae959112ff0ec9255c3b5523ec938_1920x1080,face,gr_dl_boat_nonoise_look,yes,boat,familiar,high,gr,down_left,no_noise,look,3,12,4,27,5,22,6,3,6,3,6,14,8,12,0,10,12,gaze,no_noise_gaze
shoe,ball,shoe,2a54c32c6119ba36198c415180c024db_1920x1080,face,ol_dl_shoe_nonoise_hey,yes,shoe,familiar,high,ol,down_left,no_noise,hey,3,8,4,17,5,15,6,7,6,7,6,18,8,12,0,10,12,gaze,no_noise_gaze
bunny,chicken,chicken,2b4a9ec73099c13aa36aeb2f7186fdc8_1920x1080,face,ol_sa_chicken_nonoise_look,yes,chicken,familiar,high,ol,straight_ahead,no_noise,look,3,9,4,23,5,15,6,4,6,4,NA,NA,NA,NA,0,8,4,no_gaze,no_noise_no_gaze
bottle,cookie,bottle,2e2967cf6eb348d848d1f5c33f7f2d9e_1920x1080,face,ol_sa_bottle_nonoise_hey,yes,bottle,familiar,high,ol,straight_ahead,no_noise,hey,3,22,5,2,6,6,6,20,6,20,NA,NA,NA,NA,0,8,20,no_gaze,no_noise_no_gaze
juice,boat,boat,2e31f8e68aafe04c4b1b883d1b009249_1920x1080,face,ol_dr_boat_nonoise_look,yes,boat,familiar,high,ol,down_right,no_noise,look,3,13,4,27,5,21,6,8,6,8,6,14,8,5,0,10,5,gaze,no_noise_gaze
bunny,chicken,bunny,2fb8d592a063f5dc7921b19effcf40eb_1920x1080,face,gr_sa_bunny_nonoise_hey,yes,bunny,familiar,high,gr,straight_ahead,no_noise,hey,3,16,5,0,6,5,6,15,6,15,NA,NA,NA,NA,0,8,17,no_gaze,no_noise_no_gaze
ball,shoe,ball,312db47e6fad0d04bce8bfdb33d370f9_1920x1080,face,gr_dl_ball_nonoise_hey,yes,ball,familiar,high,gr,down_left,no_noise,hey,2,28,4,21,5,25,6,10,6,10,6,21,8,22,0,10,22,gaze,no_noise_gaze
boat,juice,boat,3149b0ef729b390b4fcb84494cb28625_1920x1080,face,gr_dl_boat_nonoise_look,yes,boat,familiar,high,gr,down_left,no_noise,look,3,12,4,27,5,22,6,3,6,3,6,14,8,12,0,10,12,gaze,no_noise_gaze
chicken,bunny,bunny,3262240c4ccba45de23fd438e142c4ab_1920x1080,face,gr_sa_bunny_nonoise_look,yes,bunny,familiar,high,gr,straight_ahead,no_noise,look,3,4,4,16,5,10,5,22,5,22,NA,NA,NA,NA,0,7,22,no_gaze,no_noise_no_gaze
bottle,cookie,bottle,33a9e681ae693c36fdee35049f7ffb24_1920x1080,face,gr_sa_bottle_nonoise_hey,yes,bottle,familiar,high,gr,straight_ahead,no_noise,hey,3,5,4,8,5,12,5,25,5,25,NA,NA,NA,NA,0,7,25,no_gaze,no_noise_no_gaze
bottle,cookie,cookie,345671f943ee74ea322879db050de54c_1920x1080,face,ol_sa_cookie_nonoise_hey,yes,cookie,familiar,high,ol,straight_ahead,no_noise,hey,3,16,4,28,5,29,6,13,6,13,NA,NA,NA,NA,0,8,14,no_gaze,no_noise_no_gaze
boat,juice,juice,36470d83f7891bf75725d5b7d609be5a_1920x1080,face,ol_dr_juice_nonoise_look,yes,juice,familiar,high,ol,down_right,no_noise,look,3,17,4,28,5,22,6,14,6,14,6,13,8,11,0,10,11,gaze,no_noise_gaze
juice,boat,juice,36b293e350cffd568cf89f35d70942e6_1920x1080,face,ol_sa_juice_nonoise_hey,yes,juice,familiar,high,ol,straight_ahead,no_noise,hey,2,19,3,29,4,28,5,12,5,12,NA,NA,NA,NA,0,7,12,no_gaze,no_noise_no_gaze
chicken,bunny,bunny,37e8b9ef9e09789da9ba1c168d102fda_1920x1080,face,ol_dr_bunny_nonoise_hey,yes,bunny,familiar,high,ol,down_right,no_noise,hey,3,17,5,2,6,5,6,19,6,19,6,25,8,20,0,10,20,gaze,no_noise_gaze
chicken,bunny,chicken,3c597bbaf7fb569fa283537a8012be71_1920x1080,face,gr_dl_chicken_nonoise_look,yes,chicken,familiar,high,gr,down_left,no_noise,look,3,13,4,29,5,20,6,5,6,5,6,20,8,18,0,10,18,gaze,no_noise_gaze
bunny,chicken,chicken,3cc6641484c73dc0247160229ca855bb_1920x1080,face,gr_dr_chicken_nonoise_hey,yes,chicken,familiar,high,gr,down_right,no_noise,hey,3,10,4,18,5,23,6,9,6,9,6,25,8,13,0,10,13,gaze,no_noise_gaze
chicken,bunny,chicken,3ce17f3f3f53513765942706653efbfa_1920x1080,face,gr_sa_chicken_nonoise_hey,yes,chicken,familiar,high,gr,straight_ahead,no_noise,hey,3,3,4,8,5,13,5,28,5,28,NA,NA,NA,NA,0,7,28,no_gaze,no_noise_no_gaze
chicken,bunny,chicken,3d08a13f9c4ec27ecef0ad52726c26cb_1920x1080,face,ol_dl_chicken_nonoise_hey,yes,chicken,familiar,high,ol,down_left,no_noise,hey,3,28,5,8,6,11,6,29,6,29,7,0,9,4,0,11,4,gaze,no_noise_gaze
bunny,chicken,chicken,3e8dafc0d7272fc5f1c1c63ddd195d77_1920x1080,face,ol_sa_chicken_nonoise_hey,yes,chicken,familiar,high,ol,straight_ahead,no_noise,hey,3,17,5,3,6,3,6,22,6,22,NA,NA,NA,NA,0,8,22,no_gaze,no_noise_no_gaze
bunny,chicken,chicken,3f39a9a60adcdd18e297609e69b77d3b_1920x1080,face,gr_sa_chicken_nonoise_hey,yes,chicken,familiar,high,gr,straight_ahead,no_noise,hey,3,3,4,8,5,13,5,28,5,28,NA,NA,NA,NA,0,7,28,no_gaze,no_noise_no_gaze
bunny,chicken,bunny,4384801849762921d291e181ce6f93b5_1920x1080,face,gr_sa_bunny_nonoise_hey,yes,bunny,familiar,high,gr,straight_ahead,no_noise,hey,3,16,5,0,6,5,6,15,6,15,NA,NA,NA,NA,0,8,17,no_gaze,no_noise_no_gaze
cookie,bottle,bottle,4528f54f5ae5be340ecdffea154f124f_1920x1080,face,gr_dr_bottle_nonoise_look,yes,bottle,familiar,high,gr,down_right,no_noise,look,3,12,4,29,5,25,6,9,6,9,6,13,8,8,0,10,8,gaze,no_noise_gaze
bunny,chicken,bunny,46e8af20a3f3a371308b3bfbc1d2b4cb_1920x1080,face,gr_dl_bunny_nonoise_hey,yes,bunny,familiar,high,gr,down_left,no_noise,hey,3,16,5,0,6,6,6,16,6,16,6,25,9,9,0,11,9,gaze,no_noise_gaze
bunny,chicken,bunny,48837aa819ada1604391a3a6e61889a6_1920x1080,face,ol_sa_bunny_nonoise_look,yes,bunny,familiar,high,ol,straight_ahead,no_noise,look,3,10,4,22,5,12,5,26,5,26,NA,NA,NA,NA,0,7,26,no_gaze,no_noise_no_gaze
cookie,bottle,cookie,4a960d7707244cde1ab0665c25f75c13_1920x1080,face,ol_sa_cookie_nonoise_hey,yes,cookie,familiar,high,ol,straight_ahead,no_noise,hey,3,16,4,28,5,29,6,13,6,13,NA,NA,NA,NA,0,8,14,no_gaze,no_noise_no_gaze
bottle,cookie,cookie,4bd31f0c089a86a3cdef022e328e8bca_1920x1080,face,gr_dr_cookie_nonoise_hey,yes,cookie,familiar,high,gr,down_right,no_noise,hey,3,15,4,29,6,7,6,21,6,21,6,29,9,3,0,11,3,gaze,no_noise_gaze
chicken,bunny,bunny,4c1db13cc5d262fc42038600faaf289b_1920x1080,face,ol_dr_bunny_nonoise_hey,yes,bunny,familiar,high,ol,down_right,no_noise,hey,3,17,5,2,6,5,6,19,6,19,6,25,8,20,0,10,20,gaze,no_noise_gaze
boat,juice,boat,4dfbf1ef291e84703f8f3476342ab33c_1920x1080,face,ol_dl_boat_nonoise_hey,yes,boat,familiar,high,ol,down_left,no_noise,hey,3,12,4,21,5,25,6,9,6,9,6,14,8,11,0,10,11,gaze,no_noise_gaze
shoe,ball,ball,4e17eebe3be289ee8cb8b9052bf2aeac_1920x1080,face,ol_sa_ball_nonoise_hey,yes,ball,familiar,high,ol,straight_ahead,no_noise,hey,2,25,4,0,5,3,5,19,5,19,NA,NA,NA,NA,0,7,20,no_gaze,no_noise_no_gaze
juice,boat,juice,4e51ded0332ce5ebc1cd6b042870640c_1920x1080,face,gr_dl_juice_nonoise_look,yes,juice,familiar,high,gr,down_left,no_noise,look,3,21,5,18,6,14,7,8,7,8,7,10,9,5,0,11,5,gaze,no_noise_gaze
boat,juice,juice,4eafd507c7c4f3c7da23e0ac9f33597f_1920x1080,face,gr_dr_juice_nonoise_look,yes,juice,familiar,high,gr,down_right,no_noise,look,3,19,5,16,6,12,7,6,7,6,7,8,9,3,0,11,3,gaze,no_noise_gaze
bottle,cookie,cookie,4f7a73b8fd5e0760988443558c3ed263_1920x1080,face,gr_sa_cookie_nonoise_hey,yes,cookie,familiar,high,gr,straight_ahead,no_noise,hey,3,5,4,14,5,15,5,29,5,29,NA,NA,NA,NA,0,7,29,no_gaze,no_noise_no_gaze
shoe,ball,ball,5373f3703989e409c28198721d1e2e5b_1920x1080,face,ol_dr_ball_nonoise_look,yes,ball,familiar,high,ol,down_right,no_noise,look,3,18,5,3,5,26,6,14,6,14,6,19,8,13,0,10,13,gaze,no_noise_gaze
shoe,ball,shoe,53df3da519db8580cf19e88b8f3a264c_1920x1080,face,ol_sa_shoe_nonoise_hey,yes,shoe,familiar,high,ol,straight_ahead,no_noise,hey,2,25,4,9,5,5,5,25,5,25,NA,NA,NA,NA,0,7,25,no_gaze,no_noise_no_gaze
ball,shoe,shoe,547882a85bbda5c8d4d788bef1b96f1f_1920x1080,face,gr_sa_shoe_nonoise_hey,yes,shoe,familiar,high,gr,straight_ahead,no_noise,hey,3,4,5,0,6,2,6,23,6,23,NA,NA,NA,NA,0,8,22,no_gaze,no_noise_no_gaze
boat,juice,boat,56ffcfee9acaad780e86e4f88212bbc7_1920x1080,face,ol_dl_boat_nonoise_look,yes,boat,familiar,high,ol,down_left,no_noise,look,3,17,5,1,5,25,6,12,6,12,6,18,8,9,0,10,9,gaze,no_noise_gaze
cookie,bottle,cookie,580838599b3dc9786b154813c5ef0bcb_1920x1080,face,ol_sa_cookie_nonoise_hey,yes,cookie,familiar,high,ol,straight_ahead,no_noise,hey,3,16,4,28,5,29,6,13,6,13,NA,NA,NA,NA,0,8,14,no_gaze,no_noise_no_gaze
bunny,chicken,chicken,59b6d3532f4c213d93ae5d5403bea698_1920x1080,face,ol_dr_chicken_nonoise_hey,yes,chicken,familiar,high,ol,down_right,no_noise,hey,3,28,5,8,6,11,6,29,6,29,7,0,9,4,0,11,4,gaze,no_noise_gaze
cookie,bottle,cookie,5b77591f2cc3b2104eb677cee99af918_1920x1080,face,ol_dl_cookie_nonoise_look,yes,cookie,familiar,high,ol,down_left,no_noise,look,3,0,4,19,5,9,5,25,5,25,6,4,7,29,0,9,29,gaze,no_noise_gaze
juice,boat,boat,62f0db2b5b1248c40a91f2b9a2c86d96_1920x1080,face,gr_sa_boat_nonoise_look,yes,boat,familiar,high,gr,straight_ahead,no_noise,look,3,0,4,14,5,8,5,18,5,18,NA,NA,NA,NA,0,7,18,no_gaze,no_noise_no_gaze
boat,juice,juice,630b4e8477aef45f27c9e20ee3c849d7_1920x1080,face,gr_sa_juice_nonoise_hey,yes,juice,familiar,high,gr,straight_ahead,no_noise,hey,3,3,4,23,5,26,6,18,6,18,NA,NA,NA,NA,0,8,17,no_gaze,no_noise_no_gaze
chicken,bunny,bunny,63391e11ae47c13c766a48cfa1a7ad3f_1920x1080,face,gr_dr_bunny_nonoise_look,yes,bunny,familiar,high,gr,down_right,no_noise,look,3,17,5,12,6,5,6,17,6,17,7,2,8,24,0,10,24,gaze,no_noise_gaze
ball,shoe,shoe,637f1b127879f41a2a53287b41c283b5_1920x1080,face,gr_sa_shoe_nonoise_hey,yes,shoe,familiar,high,gr,straight_ahead,no_noise,hey,3,4,5,0,6,2,6,23,6,23,NA,NA,NA,NA,0,8,22,no_gaze,no_noise_no_gaze
boat,juice,boat,63fb7c643833907e8bb3780e82345a4c_1920x1080,face,ol_sa_boat_nonoise_hey,yes,boat,familiar,high,ol,straight_ahead,no_noise,hey,3,4,4,17,5,20,6,5,6,5,NA,NA,NA,NA,0,8,5,no_gaze,no_noise_no_gaze
chicken,bunny,chicken,64e88333ec6cb12ce35444403474ff17_1920x1080,face,gr_dl_chicken_nonoise_hey,yes,chicken,familiar,high,gr,down_left,no_noise,hey,3,12,4,20,5,25,6,11,6,11,6,27,8,15,0,10,15,gaze,no_noise_gaze
boat,juice,boat,66df0031c2ed9c99337bc7d554c73a74_1920x1080,face,gr_sa_boat_nonoise_hey,yes,boat,familiar,high,gr,straight_ahead,no_noise,hey,2,26,4,8,5,16,6,1,6,1,NA,NA,NA,NA,0,8,1,no_gaze,no_noise_no_gaze
ball,shoe,ball,679209a4195060741f02bcaeb738d92d_1920x1080,face,ol_sa_ball_nonoise_hey,yes,ball,familiar,high,ol,straight_ahead,no_noise,hey,2,25,4,0,5,3,5,19,5,19,NA,NA,NA,NA,0,7,20,no_gaze,no_noise_no_gaze
shoe,ball,shoe,69a0d9db3676c1fe5d48d516899f6404_1920x1080,face,gr_dl_shoe_nonoise_look,yes,shoe,familiar,high,gr,down_left,no_noise,look,3,2,4,19,5,13,6,1,6,1,6,14,8,16,0,10,16,gaze,no_noise_gaze
bottle,cookie,cookie,6b817c7f10a83ecc9c1adb58735d6205_1920x1080,face,ol_dr_cookie_nonoise_look,yes,cookie,familiar,high,ol,down_right,no_noise,look,3,0,4,19,5,9,5,25,5,25,6,4,7,29,0,9,29,gaze,no_noise_gaze
juice,boat,boat,6cbd6b40d75450843360db1bf061ef00_1920x1080,face,gr_dr_boat_nonoise_hey,yes,boat,familiar,high,gr,down_right,no_noise,hey,3,6,4,20,5,28,6,14,6,14,6,18,9,12,0,11,12,gaze,no_noise_gaze
cookie,bottle,cookie,6fa6da58a6a457eccc43d74ac61f6bdd_1920x1080,face,ol_dl_cookie_nonoise_hey,yes,cookie,familiar,high,ol,down_left,no_noise,hey,3,22,5,7,6,8,6,26,6,26,7,6,9,3,0,11,3,gaze,no_noise_gaze
ball,shoe,shoe,70459d901a58bea79bed1c83e6bcf11b_1920x1080,face,gr_dr_shoe_nonoise_hey,yes,shoe,familiar,high,gr,down_right,no_noise,hey,2,29,5,1,6,0,6,19,6,19,6,28,8,24,0,10,24,gaze,no_noise_gaze
ball,shoe,ball,72a0211bc6ad3e5eb8ab13f3d6b3d3e4_1920x1080,face,gr_dl_ball_nonoise_look,yes,ball,familiar,high,gr,down_left,no_noise,look,3,12,4,25,5,19,6,2,6,2,6,28,8,26,0,10,26,gaze,no_noise_gaze
shoe,ball,shoe,780e4a65f9dcd9a99eb81d37d9ed3551_1920x1080,face,ol_dl_shoe_nonoise_look,yes,shoe,familiar,high,ol,down_left,no_noise,look,3,14,5,0,5,19,6,12,6,12,6,13,8,15,0,10,15,gaze,no_noise_gaze
cookie,bottle,bottle,7c9fc0e7478143d082e0068fa2f1297b_1920x1080,face,ol_dr_bottle_nonoise_hey,yes,bottle,familiar,high,ol,down_right,no_noise,hey,3,7,4,21,5,26,6,12,6,12,6,22,8,15,0,10,15,gaze,no_noise_gaze
cookie,bottle,cookie,7e90c506045fcee3c139208f5e425e46_1920x1080,face,gr_sa_cookie_nonoise_hey,yes,cookie,familiar,high,gr,straight_ahead,no_noise,hey,3,5,4,14,5,15,5,29,5,29,NA,NA,NA,NA,0,7,29,no_gaze,no_noise_no_gaze
juice,boat,boat,8121969212e3c178fecb29fcc3b1ebff_1920x1080,face,gr_dr_boat_nonoise_look,yes,boat,familiar,high,gr,down_right,no_noise,look,3,11,4,26,5,21,6,2,6,2,6,13,8,11,0,10,11,gaze,no_noise_gaze
bottle,cookie,cookie,87e33aa0e007b2f081796df4aad3dc79_1920x1080,face,ol_sa_cookie_nonoise_hey,yes,cookie,familiar,high,ol,straight_ahead,no_noise,hey,3,16,4,28,5,29,6,13,6,13,NA,NA,NA,NA,0,8,14,no_gaze,no_noise_no_gaze
juice,boat,boat,8963b8e26f1a0abd65e60b5ff4cbe22f_1920x1080,face,ol_sa_boat_nonoise_look,yes,boat,familiar,high,ol,straight_ahead,no_noise,look,3,15,5,0,5,22,6,9,6,9,NA,NA,NA,NA,0,8,9,no_gaze,no_noise_no_gaze
cookie,bottle,bottle,8b2260f4e9cae14475a76253ad66900e_1920x1080,face,ol_sa_bottle_nonoise_look,yes,bottle,familiar,high,ol,straight_ahead,no_noise,look,3,1,4,11,5,1,5,16,5,16,NA,NA,NA,NA,0,7,16,no_gaze,no_noise_no_gaze
bottle,cookie,cookie,8f7e961302d41865b9c5c8910270df8f_1920x1080,face,gr_dr_cookie_nonoise_hey,yes,cookie,familiar,high,gr,down_right,no_noise,hey,3,15,4,29,6,7,6,21,6,21,6,29,9,3,0,11,3,gaze,no_noise_gaze
bunny,chicken,bunny,90449ec318465e1725bbabc0c07c882c_1920x1080,face,ol_sa_bunny_nonoise_look,yes,bunny,familiar,high,ol,straight_ahead,no_noise,look,3,10,4,22,5,12,5,26,5,26,NA,NA,NA,NA,0,7,26,no_gaze,no_noise_no_gaze
cookie,bottle,bottle,9123caa92b24c1da261b640b9bb59392_1920x1080,face,gr_dr_bottle_nonoise_hey,yes,bottle,familiar,high,gr,down_right,no_noise,hey,3,18,5,2,6,10,6,22,6,22,7,6,9,11,0,11,11,gaze,no_noise_gaze
shoe,ball,ball,9260fabb88a8d61d2857210a2c3e458a_1920x1080,face,gr_sa_ball_nonoise_look,yes,ball,familiar,high,gr,straight_ahead,no_noise,look,3,1,4,21,5,12,5,24,5,24,NA,NA,NA,NA,0,7,25,no_gaze,no_noise_no_gaze
juice,boat,boat,92ffc3460bba9847420b65367d37a3f0_1920x1080,face,gr_sa_boat_nonoise_look,yes,boat,familiar,high,gr,straight_ahead,no_noise,look,3,0,4,14,5,8,5,18,5,18,NA,NA,NA,NA,0,7,18,no_gaze,no_noise_no_gaze
ball,shoe,shoe,934a9ea358db0769afed7556cfcc5d45_1920x1080,face,ol_sa_shoe_nonoise_hey,yes,shoe,familiar,high,ol,straight_ahead,no_noise,hey,2,25,4,9,5,5,5,25,5,25,NA,NA,NA,NA,0,7,25,no_gaze,no_noise_no_gaze
ball,shoe,shoe,973d04709bd972d20ed083bfc19d7de0_1920x1080,face,ol_dr_shoe_nonoise_look,yes,shoe,familiar,high,ol,down_right,no_noise,look,3,14,5,0,5,19,6,12,6,12,6,13,8,15,0,10,15,gaze,no_noise_gaze
shoe,ball,shoe,9b364d63f65940d0e88ede2c3d40144e_1920x1080,face,gr_sa_shoe_nonoise_hey,yes,shoe,familiar,high,gr,straight_ahead,no_noise,hey,3,4,5,0,6,2,6,23,6,23,NA,NA,NA,NA,0,8,22,no_gaze,no_noise_no_gaze
cookie,bottle,bottle,9cc5627553403d46152704fff9802c5f_1920x1080,face,ol_sa_bottle_nonoise_look,yes,bottle,familiar,high,ol,straight_ahead,no_noise,look,3,1,4,11,5,1,5,16,5,16,NA,NA,NA,NA,0,7,16,no_gaze,no_noise_no_gaze
shoe,ball,ball,9daf8d958bb79c4b70f9f1332353fc82_1920x1080,face,gr_sa_ball_nonoise_look,yes,ball,familiar,high,gr,straight_ahead,no_noise,look,3,1,4,21,5,12,5,24,5,24,NA,NA,NA,NA,0,7,25,no_gaze,no_noise_no_gaze
ball,shoe,ball,9e6aeccf662be0728e94d350ddeb8634_1920x1080,face,gr_sa_ball_nonoise_look,yes,ball,familiar,high,gr,straight_ahead,no_noise,look,3,1,4,21,5,12,5,24,5,24,NA,NA,NA,NA,0,7,25,no_gaze,no_noise_no_gaze
ball,shoe,ball,a1abcf4f110bf74fc04877914d576c95_1920x1080,face,gr_sa_ball_nonoise_look,yes,ball,familiar,high,gr,straight_ahead,no_noise,look,3,1,4,21,5,12,5,24,5,24,NA,NA,NA,NA,0,7,25,no_gaze,no_noise_no_gaze
boat,juice,boat,a35db8f0d23194729259cfbeb7a7ce87_1920x1080,face,ol_sa_boat_nonoise_look,yes,boat,familiar,high,ol,straight_ahead,no_noise,look,3,15,5,0,5,22,6,9,6,9,NA,NA,NA,NA,0,8,9,no_gaze,no_noise_no_gaze
bottle,cookie,bottle,a53a9a3224aaf34308b25a84c596d473_1920x1080,face,gr_dl_bottle_nonoise_hey,yes,bottle,familiar,high,gr,down_left,no_noise,hey,3,19,5,3,6,11,6,23,6,23,7,7,9,12,0,11,12,gaze,no_noise_gaze
boat,juice,juice,a5bc64182a47dffafcbd94634b2ef315_1920x1080,face,ol_sa_juice_nonoise_hey,yes,juice,familiar,high,ol,straight_ahead,no_noise,hey,2,19,3,29,4,28,5,12,5,12,NA,NA,NA,NA,0,7,12,no_gaze,no_noise_no_gaze
bottle,cookie,bottle,a6af57f5a7fb1033a42ec8647524ce76_1920x1080,face,ol_sa_bottle_nonoise_look,yes,bottle,familiar,high,ol,straight_ahead,no_noise,look,3,1,4,11,5,1,5,16,5,16,NA,NA,NA,NA,0,7,16,no_gaze,no_noise_no_gaze
ball,shoe,ball,a6f60e2e7aed8ed3cf5a42d42d1b2329_1920x1080,face,ol_dl_ball_nonoise_hey,yes,ball,familiar,high,ol,down_left,no_noise,hey,3,5,4,15,5,17,6,5,6,5,6,16,8,12,0,10,12,gaze,no_noise_gaze
shoe,ball,shoe,a779cf8e8100a2f7c605015ef85b071b_1920x1080,face,ol_sa_shoe_nonoise_look,yes,shoe,familiar,high,ol,straight_ahead,no_noise,look,2,29,4,13,5,3,5,24,5,24,NA,NA,NA,NA,0,7,24,no_gaze,no_noise_no_gaze
bunny,chicken,bunny,ad72689a2706328e3ddcb33ea6d8d081_1920x1080,face,gr_dl_bunny_nonoise_look,yes,bunny,familiar,high,gr,down_left,no_noise,look,3,18,5,13,6,6,6,18,6,18,7,3,8,26,0,10,26,gaze,no_noise_gaze
bottle,cookie,bottle,aee2239c0f24f445f09b0fabbe8a0d77_1920x1080,face,gr_dl_bottle_nonoise_hey,yes,bottle,familiar,high,gr,down_left,no_noise,hey,3,19,5,3,6,11,6,23,6,23,7,7,9,12,0,11,12,gaze,no_noise_gaze
juice,boat,boat,b329d7a7bc622400f57498026aebbee6_1920x1080,face,ol_dr_boat_nonoise_look,yes,boat,familiar,high,ol,down_right,no_noise,look,3,13,4,27,5,21,6,8,6,8,6,14,8,5,0,10,5,gaze,no_noise_gaze
bunny,chicken,bunny,b32a036aa78f4a8724657c45d4b36df5_1920x1080,face,ol_dl_bunny_nonoise_hey,yes,bunny,familiar,high,ol,down_left,no_noise,hey,3,17,5,2,6,5,6,19,6,19,6,25,8,20,0,10,20,gaze,no_noise_gaze
ball,shoe,ball,b52d5a3c7b8e3745f5423fa309889e51_1920x1080,face,ol_sa_ball_nonoise_look,yes,ball,familiar,high,ol,straight_ahead,no_noise,look,3,19,5,2,5,25,6,11,6,11,NA,NA,NA,NA,0,8,11,no_gaze,no_noise_no_gaze
chicken,bunny,bunny,ba4b363b29d7fcf00e3f0b28c02b6202_1920x1080,face,gr_sa_bunny_nonoise_look,yes,bunny,familiar,high,gr,straight_ahead,no_noise,look,3,4,4,16,5,10,5,22,5,22,NA,NA,NA,NA,0,7,22,no_gaze,no_noise_no_gaze
