stimulus_name,stimulus,stimulus_type,trial_num_exp
gr_sa_bosa_nonoise_look,3b4c12eb79ec389457192f61202b840b_1920x1080,Composite,28
gr_dl_bosa_nonoise_hey,c4c4528dfff7d58ead60c245dcaff196_1920x1080,Composite,29
gr_sa_bosa_nonoise_hey,b59e60af9e8c98f69208c8b418958e30_1920x1080,Composite,30
gr_dr_bosa_nonoise_look,9f7a652383b3ed6098d08d9a1ade9f9a_1920x1080,Composite,31
gr_sa_bosa_nonoise_look,6c641469e45531363fa8061364b26ca3_1920x1080,Composite,32
all_done_gr,05a2ee03a15d82f4cee5b80627290652_1920x1080,Composite,NA
gr_sa_cookie_nonoise_look,5329d3b598a3f7d8d49c1d85d1734522_1920x1080,Composite,0
gr_dl_toma_nonoise_hey,203df917781e207698706659a18b226a_1920x1080,Composite,1
gr_sa_toma_nonoise_hey,c327476ab6d3eb5be2446bcb1d494ce8_1920x1080,Composite,2
gr_dl_toma_nonoise_look,c4d978de72bcc97f4819d9b859361da3_1920x1080,Composite,3
gr_sa_toma_nonoise_hey,17c28542862fe062d5d2e33dbe992217_1920x1080,Composite,4
gr_dl_toma_nonoise_look,31ea07440643ab9f77ba12234d7e0431_1920x1080,Composite,5
gr_sa_toma_nonoise_look,2163987c797cf0c50853fd8e4709ec9a_1920x1080,Composite,6
gr_dr_toma_nonoise_hey,26d8f55ee7288edcc63ba01194e8f2d8_1920x1080,Composite,7
gr_sa_toma_nonoise_look,c8f40be2ceeed2a883f06472c9013ba7_1920x1080,Composite,8
gr_dl_pifo_nonoise_hey,c4cd936f92a5a50e162035b9480ec052_1920x1080,Composite,9
gr_sa_pifo_nonoise_hey,84d44b639b785e16aee35fd90dc14258_1920x1080,Composite,10
gr_dl_pifo_nonoise_look,d09acc32944cc744a20f6e6a5fa74fb9_1920x1080,Composite,11
gr_sa_pifo_nonoise_hey,50d7da6d0ddc7d1d09d52dc7dafda9e8_1920x1080,Composite,12
gr_dl_pifo_nonoise_look,be5c986b2005ad1f59c3ff836281082b_1920x1080,Composite,13
gr_sa_pifo_nonoise_look,462ec6f096214b1b56a7c3be1e50abac_1920x1080,Composite,14
gr_dr_pifo_nonoise_hey,4e3708ecc837d0402fc0c92e08b4cdbb_1920x1080,Composite,15
gr_sa_pifo_nonoise_look,0446372736596e319a476ac69792404a_1920x1080,Composite,16
great_job_gr,999738d7aec28555b0421930c57f5085_1920x1080,Composite,NA
ol_sa_bottle_nonoise_look,f242c27e12c6122eeb7c89a3fdc494c5_1920x1080,Composite,16
ol_sa_bosa_nonoise_hey,4dc959aee941714b32efe82a7aa50d34_1920x1080,Composite,17
ol_sa_bosa_nonoise_hey,4c49c3ab8fe1804e1cd9b91efa41c7a5_1920x1080,Composite,18
ol_sa_bosa_nonoise_look,0191465a069c6b6c933fc7ec01416490_1920x1080,Composite,19
ol_sa_bosa_nonoise_hey,40d023ab05e279823308100db12f1666_1920x1080,Composite,20
ol_sa_bosa_nonoise_look,c93bc36c2bb0779dd49079714b434e19_1920x1080,Composite,21
ol_sa_bosa_nonoise_look,60d3bcaab924f482911e962134ca4523_1920x1080,Composite,22
ol_sa_bosa_nonoise_hey,79009c0330896e7ea78df77dcc89032e_1920x1080,Composite,23
ol_sa_bosa_nonoise_look,97ae0aa8c27252de6bf37b641d5bc9c2_1920x1080,Composite,24
ol_sa_modi_nonoise_hey,5cc5c642d3a416169bc0a265eebeb1d7_1920x1080,Composite,25
ol_sa_modi_nonoise_hey,1e0e78cbd9420963b3e859092f37c48c_1920x1080,Composite,26
ol_sa_modi_nonoise_look,18af471b2df8ee0d9bebfe10a8cb0e26_1920x1080,Composite,27
ol_sa_modi_nonoise_hey,2891dff2cf062d2f376a056a63f2d14a_1920x1080,Composite,28
ol_sa_modi_nonoise_look,966b759efeab6ef5a0bf5c3a64e40ec3_1920x1080,Composite,29
ol_sa_modi_nonoise_look,4c3c8c000074fc8d2abf45ced3a9f4c9_1920x1080,Composite,30
ol_sa_modi_nonoise_hey,3e7c0f88da2dac69d55465efcfc00043_1920x1080,Composite,31
ol_sa_modi_nonoise_look,16cff7f75181dc6b16dec0c5cf940d28_1920x1080,Composite,32
all_done_ol,b2189546ceb4bdb2e8a418a48c75a1e8_1920x1080,Composite,NA
ol_sa_cookie_nonoise_look,e74e6ab1cd3f4b97e184d621ea6296b9_1920x1080,Composite,0
ol_dl_pifo_nonoise_look,7dfb1d72597ea3a1e7945e55dd7e7b63_1920x1080,Composite,1
ol_sa_pifo_nonoise_hey,03f438f88a00afd49a48ba8191d6c3b0_1920x1080,Composite,2
ol_dr_pifo_nonoise_hey,bd4b282096c46006d7cec21927e5ba09_1920x1080,Composite,3
ol_sa_pifo_nonoise_look,e8369a5f799f06dd10ee8c1f0a199666_1920x1080,Composite,4
ol_dr_pifo_nonoise_hey,3318a5ebacb086a2213063e8028d4d95_1920x1080,Composite,5
ol_sa_pifo_nonoise_look,ed0d41586730728879a055597a2ec2b8_1920x1080,Composite,6
ol_dl_pifo_nonoise_look,717ba1f627b0d9129668adbb9fabc291_1920x1080,Composite,7
ol_sa_pifo_nonoise_hey,e4ff5bb1293f1b9b84e7def037193bec_1920x1080,Composite,8
ol_dl_toma_nonoise_look,2b81f6dbce406b7ff51d317f15ba07fb_1920x1080,Composite,9
ol_sa_toma_nonoise_hey,fea73ddebacab162c1dd6ab2c037be32_1920x1080,Composite,10
ol_dr_toma_nonoise_hey,a490e7a40e288b9bc01054fe98164981_1920x1080,Composite,11
ol_sa_toma_nonoise_look,12e2c34cfbbecb10e50928d535f4a0ee_1920x1080,Composite,12
ol_dr_toma_nonoise_hey,a893ab3d7a50c62ba6ce05afd8ae31ca_1920x1080,Composite,13
ol_sa_toma_nonoise_look,300f26aad563c61fbd1211fb6d7fcdf0_1920x1080,Composite,14
ol_dl_toma_nonoise_look,57864ba956f64e97bb2045a1ceef7f98_1920x1080,Composite,15
ol_sa_toma_nonoise_hey,f021e5c9d0eb3569ce9fbacbc2ee47d8_1920x1080,Composite,16
great_job_ol,f8f24a6863eec5ddd2f50db053a34a6f_1920x1080,Composite,NA
gr_sa_bottle_nonoise_look,2501a6ecbb85880234d5fad1010d8b19_1920x1080,Composite,16
gr_sa_bosa_nonoise_look,a6663180c30e9c578b9a72e8c446d8f3_1920x1080,Composite,17
gr_sa_bosa_nonoise_hey,cb36bb4065cef9a66c54c321d13c8105_1920x1080,Composite,18
gr_sa_bosa_nonoise_hey,5cf132574735912cd47a7ceb1e4f4699_1920x1080,Composite,19
gr_sa_bosa_nonoise_look,e3790676867cc35c6215099b785be5ff_1920x1080,Composite,20
gr_sa_bosa_nonoise_hey,ccfd578d698a0aef0bc8b8a3227907aa_1920x1080,Composite,21
gr_sa_bosa_nonoise_look,1df277cbb57189960b7c0d5847d7be42_1920x1080,Composite,22
gr_sa_bosa_nonoise_look,96d8451d047a826632d9537d4ec9ec80_1920x1080,Composite,23
gr_sa_bosa_nonoise_hey,e6d6b6156de07c7fb0a9dcc4eae3f308_1920x1080,Composite,24
gr_sa_modi_nonoise_look,a9d74b4d697ac943fdb9662bccc87bd1_1920x1080,Composite,25
gr_sa_modi_nonoise_hey,67f22ef2f53cdd45406fb43a588de6b3_1920x1080,Composite,26
gr_sa_modi_nonoise_hey,46b21f34e4834b5f111868b2850c3478_1920x1080,Composite,27
gr_sa_modi_nonoise_look,0de6a4555e53ed8af943a53895ad40c4_1920x1080,Composite,28
gr_sa_modi_nonoise_hey,5dd4c6c7bd652decb44fcb5977b81521_1920x1080,Composite,29
gr_sa_modi_nonoise_look,62c38068be2bb7f81fc1fb52f7e68452_1920x1080,Composite,30
gr_sa_modi_nonoise_look,ccc672b02bb3a427c08c50976bb1521f_1920x1080,Composite,31
gr_sa_modi_nonoise_hey,c835a2c67db27d7c5fe76b7cf3644b34_1920x1080,Composite,32
all_done_gr,eb611debac9ddee16b4e580065f7b1b2_1920x1080,Composite,NA
