t.rel.noun,gaze_condition,target_looking,age_code,ci_lower,ci_upper,mean
0.5333333333333333,straight_ahead,NA,adults,NA,NA,NaN
0.5333333333333333,straight_ahead,NA,children,NA,NA,NaN
0.5666666666666667,gaze,NA,adults,NA,NA,NaN
0.5666666666666667,gaze,NA,children,NA,NA,NaN
0.5666666666666667,straight_ahead,NA,adults,NA,NA,NaN
0.5666666666666667,straight_ahead,NA,children,NA,NA,NaN
0.6,gaze,center,adults,0.3126921730230554,0.44947187310238784,0.3786261532585062
0.6,gaze,center,children,0.24772617554546902,0.3837605646165429,0.31162270700314176
0.6,gaze,distracter,adults,0.040707264549176315,0.09361958813245577,0.06701472547060783
0.6,gaze,distracter,children,0.16327786344090695,0.2376657807771938,0.20048122167687385
0.6,gaze,target,adults,0.48324311411627585,0.6172940570458954,0.5543591212708859
0.6,gaze,target,children,0.43223531450433633,0.5420548382776643,0.48789607131998436
0.6,straight_ahead,center,adults,0.26079865600086183,0.4358119637715226,0.34465865017335606
0.6,straight_ahead,center,children,0.26005695539028867,0.37427591390091386,0.3171168029501363
0.6,straight_ahead,distracter,adults,0.045247962821492245,0.10138802680162973,0.07282435701553348
0.6,straight_ahead,distracter,children,0.16458618233618233,0.23487583095916428,0.19995738829072163
0.6,straight_ahead,target,adults,0.5106914317300347,0.6613842132132574,0.5825169928111105
0.6,straight_ahead,target,children,0.4306378367003367,0.5335156433073099,0.4829258087591421
0.6333333333333333,gaze,NA,adults,NA,NA,NaN
0.6333333333333333,gaze,NA,children,NA,NA,NaN
0.6333333333333333,straight_ahead,NA,adults,NA,NA,NaN
0.6333333333333333,straight_ahead,NA,children,NA,NA,NaN
0.6666666666666666,gaze,NA,adults,NA,NA,NaN
0.6666666666666666,gaze,NA,children,NA,NA,NaN
0.6666666666666666,straight_ahead,NA,adults,NA,NA,NaN
0.6666666666666666,straight_ahead,NA,children,NA,NA,NaN
0.7,gaze,center,adults,0.1874035921186657,0.3217521081859317,0.25281177156177154
0.7,gaze,center,children,0.20408419479071654,0.31765537904124863,0.2569147338169077
0.7,gaze,distracter,adults,0.037484311032105144,0.09328405050831519,0.06410856300562183
0.7,gaze,distracter,children,0.13021652487005747,0.1927686285634655,0.16091272857577205
0.7,gaze,target,adults,0.6115865813108462,0.7502403876760494,0.6830796654326066
0.7,gaze,target,children,0.5305698717043825,0.6317431820896495,0.5821725376073202
0.7,straight_ahead,center,adults,0.15569979346633758,0.2783710652093005,0.2115514387573211
0.7,straight_ahead,center,children,0.20668620102723367,0.3154681030020704,0.2609362557732123
0.7,straight_ahead,distracter,adults,0.033786587187322484,0.07802711075689016,0.055004921549039194
0.7,straight_ahead,distracter,children,0.14327443163720338,0.20758164616180919,0.17509854276158623
0.7,straight_ahead,target,adults,0.6653073764470824,0.7912575200534758,0.7334436396936397
0.7,straight_ahead,target,children,0.5207327500398152,0.6089218526039178,0.5639652014652015
0.7333333333333333,gaze,NA,adults,NA,NA,NaN
0.7333333333333333,gaze,NA,children,NA,NA,NaN
0.7333333333333333,straight_ahead,NA,adults,NA,NA,NaN
0.7333333333333333,straight_ahead,NA,children,NA,NA,NaN
0.7666666666666667,gaze,NA,adults,NA,NA,NaN
0.7666666666666667,gaze,NA,children,NA,NA,NaN
0.7666666666666667,straight_ahead,NA,adults,NA,NA,NaN
0.7666666666666667,straight_ahead,NA,children,NA,NA,NaN
0.8,gaze,center,adults,0.11912834102172339,0.23457374427043545,0.17535613895908014
0.8,gaze,center,children,0.17520224114653463,0.29114362992080384,0.23007391159565072
0.8,gaze,distracter,adults,0.02701366648057825,0.07141455358367123,0.04678605708017473
0.8,gaze,distracter,children,0.11589934672815108,0.17535495603430387,0.145670211431081
0.8,gaze,target,adults,0.708349815013418,0.8417259272590154,0.7778578039607451
0.8,gaze,target,children,0.5694867670071476,0.6804978777261386,0.6242558769732682
0.8,straight_ahead,center,adults,0.09229664942900237,0.19251058990029576,0.14132485161896927
0.8,straight_ahead,center,children,0.1916592261904762,0.3087482331979614,0.24695910973084886
0.8,straight_ahead,distracter,adults,0.027770210794107856,0.06567719045660221,0.04604133611486553
0.8,straight_ahead,distracter,children,0.11789604568137176,0.1881985089186176,0.15130959016828582
0.8,straight_ahead,target,adults,0.7571320132073809,0.8658264958081134,0.8126338122661652
0.8,straight_ahead,target,children,0.5420751297313797,0.6529062234564953,0.6017313001008653
0.8333333333333334,gaze,NA,adults,NA,NA,NaN
0.8333333333333334,gaze,NA,children,NA,NA,NaN
0.8333333333333334,straight_ahead,NA,adults,NA,NA,NaN
0.8333333333333334,straight_ahead,NA,children,NA,NA,NaN
0.8666666666666667,gaze,NA,adults,NA,NA,NaN
0.8666666666666667,gaze,NA,children,NA,NA,NaN
0.8666666666666667,straight_ahead,NA,adults,NA,NA,NaN
0.8666666666666667,straight_ahead,NA,children,NA,NA,NaN
0.9,gaze,center,adults,0.0898891335380306,0.1921139369209222,0.14068896789485025
0.9,gaze,center,children,0.1462608662472793,0.23465035568296438,0.19095065562456867
0.9,gaze,distracter,adults,0.01919127747252747,0.0699620232708468,0.04067280758457229
0.9,gaze,distracter,children,0.1019272077560121,0.16314284221213568,0.13091289748898444
0.9,gaze,target,adults,0.7556728075845723,0.871273870124973,0.8186382245205774
0.9,gaze,target,children,0.628747262701067,0.728870938843765,0.6781364468864469
0.9,straight_ahead,center,adults,0.05776509642318466,0.15430794593478414,0.10250978596566832
0.9,straight_ahead,center,children,0.16567989981033462,0.255786690664408,0.20838663148445757
0.9,straight_ahead,distracter,adults,0.012970265029088558,0.05047592113768584,0.029112798965740143
0.9,straight_ahead,distracter,children,0.1095259201848876,0.17361212836076964,0.1391621060099321
0.9,straight_ahead,target,adults,0.8147149837499102,0.9178899684873949,0.8683774150685916
0.9,straight_ahead,target,children,0.6060700305129653,0.7014528971933863,0.6524512625056104
0.9333333333333333,gaze,NA,adults,NA,NA,NaN
0.9333333333333333,gaze,NA,children,NA,NA,NaN
0.9333333333333333,straight_ahead,NA,adults,NA,NA,NaN
0.9333333333333333,straight_ahead,NA,children,NA,NA,NaN
0.9666666666666667,gaze,NA,adults,NA,NA,NaN
0.9666666666666667,gaze,NA,children,NA,NA,NaN
0.9666666666666667,straight_ahead,NA,adults,NA,NA,NaN
0.9666666666666667,straight_ahead,NA,children,NA,NA,NaN
1,gaze,center,adults,0.06064279878618114,0.1515702322595705,0.10201150973209797
1,gaze,center,children,0.17266742768101467,0.27317295250039814,0.22136631484457572
1,gaze,distracter,adults,0.007775735294117648,0.05329326923076923,0.027139894419306185
1,gaze,distracter,children,0.07767461478738653,0.129167139472846,0.10288959229176621
1,gaze,target,adults,0.8119807153630684,0.9209755216189038,0.8708485958485959
1,gaze,target,children,0.6197677842990343,0.7307197444765379,0.6757440928636581
1,straight_ahead,center,adults,0.03743741246498599,0.1300548103856927,0.07948987287222581
1,straight_ahead,center,children,0.1522263651203869,0.2347514871903459,0.1931330143286665
1,straight_ahead,distracter,adults,0.011091163738222568,0.059192771076962254,0.030969153395623984
1,straight_ahead,distracter,children,0.09779340300400083,0.1571962480454328,0.12489153358718576
1,straight_ahead,target,adults,0.8312949550449551,0.9387623926318778,0.8895409737321502
1,straight_ahead,target,children,0.6404134286607113,0.724322293799196,0.6819754520841478
1.0333333333333334,gaze,NA,adults,NA,NA,NaN
1.0333333333333334,gaze,NA,children,NA,NA,NaN
1.0333333333333334,straight_ahead,NA,adults,NA,NA,NaN
1.0333333333333334,straight_ahead,NA,children,NA,NA,NaN
1.0666666666666667,gaze,NA,adults,NA,NA,NaN
1.0666666666666667,gaze,NA,children,NA,NA,NaN
1.0666666666666667,straight_ahead,NA,adults,NA,NA,NaN
1.0666666666666667,straight_ahead,NA,children,NA,NA,NaN
1.1,gaze,center,adults,0.04600351547961842,0.1287124854312354,0.08231804959746136
1.1,gaze,center,children,0.17999553661917791,0.3051674887612388,0.24097415265893526
1.1,gaze,distracter,adults,0.0055147058823529415,0.034435001273236565,0.018149987267634327
1.1,gaze,distracter,children,0.07129200283412239,0.11699196184250533,0.09334279850584198
1.1,gaze,target,adults,0.8465830676676266,0.9425272154316271,0.8995319631349044
1.1,gaze,target,children,0.5969404259689587,0.7255915235127192,0.6656830488352228
1.1,straight_ahead,center,adults,0.03142781544435958,0.11356597752737459,0.06835529666412019
1.1,straight_ahead,center,children,0.15647592217565048,0.24552907539320581,0.19970186818012906
1.1,straight_ahead,distracter,adults,0.0166644385026738,0.06403270136726018,0.038807516013398366
1.1,straight_ahead,distracter,children,0.10315911292813468,0.15858470183198442,0.12976293030640856
1.1,straight_ahead,target,adults,0.8323296648204737,0.9387755443086325,0.8928371873224814
1.1,straight_ahead,target,children,0.6248397737528172,0.7180395751591404,0.6705352015134624
1.1333333333333333,gaze,NA,adults,NA,NA,NaN
1.1333333333333333,gaze,NA,children,NA,NA,NaN
1.1333333333333333,straight_ahead,NA,adults,NA,NA,NaN
1.1333333333333333,straight_ahead,NA,children,NA,NA,NaN
1.1666666666666667,gaze,NA,adults,NA,NA,NaN
1.1666666666666667,gaze,NA,children,NA,NA,NaN
1.1666666666666667,straight_ahead,NA,adults,NA,NA,NaN
1.1666666666666667,straight_ahead,NA,children,NA,NA,NaN
1.2,gaze,center,adults,0.03820378151260505,0.13293036926308985,0.07828323637147167
1.2,gaze,center,children,0.20857417265705308,0.33188148958529395,0.2688353011722577
1.2,gaze,distracter,adults,0.0024509803921568627,0.029157913165266097,0.014268207282913165
1.2,gaze,distracter,children,0.07827606949210211,0.13218669238370323,0.10357776281689325
1.2,gaze,target,adults,0.849614610267184,0.9537909394527041,0.9074485563456152
1.2,gaze,target,children,0.5609535090513352,0.6844916685066141,0.627586936010849
1.2,straight_ahead,center,adults,0.032203256302521015,0.1295453566041801,0.07173157724628312
1.2,straight_ahead,center,children,0.16457111728850857,0.2757788241348023,0.2178436599632252
1.2,straight_ahead,distracter,adults,0.013366596638655468,0.05490371148459384,0.0322829131652661
1.2,straight_ahead,distracter,children,0.0781066080658472,0.13082239771098467,0.10225049708745361
1.2,straight_ahead,target,adults,0.8288579710730446,0.9519507177871149,0.8959855095884508
1.2,straight_ahead,target,children,0.6164913528500485,0.7357800615748985,0.6799058429493212
1.2333333333333334,gaze,NA,adults,NA,NA,NaN
1.2333333333333334,gaze,NA,children,NA,NA,NaN
1.2333333333333334,straight_ahead,NA,adults,NA,NA,NaN
1.2333333333333334,straight_ahead,NA,children,NA,NA,NaN
1.2666666666666666,gaze,NA,adults,NA,NA,NaN
1.2666666666666666,gaze,NA,children,NA,NA,NaN
1.2666666666666666,straight_ahead,NA,adults,NA,NA,NaN
1.2666666666666666,straight_ahead,NA,children,NA,NA,NaN
1.3,gaze,center,adults,0.036911832040508526,0.14304463612368024,0.08090255332902392
1.3,gaze,center,children,0.2481723492389253,0.3995687381760752,0.3253271486967139
1.3,gaze,distracter,adults,0.00196078431372549,0.016289592760180997,0.008144796380090498
1.3,gaze,distracter,children,0.06208011417929896,0.1325378244943462,0.0945435904675035
1.3,gaze,target,adults,0.845518543956044,0.9617304662249516,0.9109526502908856
1.3,gaze,target,children,0.5163254785673265,0.6415656241403523,0.5801292608357825
1.3,straight_ahead,center,adults,0.03325892857142858,0.13888305322128852,0.07867647058823529
1.3,straight_ahead,center,children,0.1940744355282399,0.2870821863824581,0.23979127756301669
1.3,straight_ahead,distracter,adults,0.010853028711484596,0.04485425420168067,0.02708333333333333
1.3,straight_ahead,distracter,children,0.0663326143964731,0.12783569464955333,0.09542549841462884
1.3,straight_ahead,target,adults,0.8261528361344538,0.948548669467787,0.8942401960784314
1.3,straight_ahead,target,children,0.6074641956775109,0.7172761816987361,0.6647832240223545
1.3333333333333333,gaze,NA,adults,NA,NA,NaN
1.3333333333333333,gaze,NA,children,NA,NA,NaN
1.3333333333333333,straight_ahead,NA,adults,NA,NA,NaN
1.3333333333333333,straight_ahead,NA,children,NA,NA,NaN
1.3666666666666667,gaze,NA,adults,NA,NA,NaN
1.3666666666666667,gaze,NA,children,NA,NA,NaN
1.3666666666666667,straight_ahead,NA,adults,NA,NA,NaN
1.3666666666666667,straight_ahead,NA,children,NA,NA,NaN
1.4,gaze,center,adults,0.04228947829131654,0.15817095588235291,0.09376750700280112
1.4,gaze,center,children,0.3297980627464323,0.4801663463348246,0.4010399322899323
1.4,gaze,distracter,adults,0.00196078431372549,0.017571644042232278,0.00863499245852187
1.4,gaze,distracter,children,0.06136693017127799,0.13483777544918849,0.09487369514543427
1.4,gaze,target,adults,0.8250467302305536,0.9550964231846584,0.897597500538677
1.4,gaze,target,children,0.4396603773641818,0.5693130163918206,0.5040863725646334
1.4,straight_ahead,center,adults,0.0352703373015873,0.15049531351001935,0.08729709832651009
1.4,straight_ahead,center,children,0.2189793027021288,0.33466285601475815,0.2735209235209235
1.4,straight_ahead,distracter,adults,0.01024213531566473,0.041780933527257064,0.024753555268261153
1.4,straight_ahead,distracter,children,0.06462990361088189,0.12144148424039727,0.09315856245204071
1.4,straight_ahead,target,adults,0.8142557054873232,0.9478241825576383,0.8879493464052287
1.4,straight_ahead,target,children,0.5776976231799602,0.6925073876908115,0.6333205140270357
1.4333333333333333,gaze,NA,adults,NA,NA,NaN
1.4333333333333333,gaze,NA,children,NA,NA,NaN
1.4333333333333333,straight_ahead,NA,adults,NA,NA,NaN
1.4333333333333333,straight_ahead,NA,children,NA,NA,NaN
1.4666666666666666,gaze,NA,adults,NA,NA,NaN
1.4666666666666666,gaze,NA,children,NA,NA,NaN
1.4666666666666666,straight_ahead,NA,adults,NA,NA,NaN
1.4666666666666666,straight_ahead,NA,children,NA,NA,NaN
1.5,gaze,center,adults,0.04671446608946609,0.17630185786435784,0.10554168054168053
1.5,gaze,center,children,0.3811926185227816,0.5280231951019995,0.45685826854305117
1.5,gaze,distracter,adults,0,0.014452214452214451,0.006876456876456876
1.5,gaze,distracter,children,0.06748667621629578,0.1474688656753874,0.10305621311056093
1.5,gaze,target,adults,0.8099569527694529,0.9426047563547563,0.8875818625818626
1.5,gaze,target,children,0.3791380607617021,0.5047259179528201,0.4400855183463879
1.5,straight_ahead,center,adults,0.04324814584924879,0.1537492042271454,0.09525878533231474
1.5,straight_ahead,center,children,0.23022934493043193,0.32258259328232153,0.27568394769481724
1.5,straight_ahead,distracter,adults,0.010228129713423831,0.044552460407239806,0.026404600301659125
1.5,straight_ahead,distracter,children,0.07688367489997924,0.14309835394074524,0.10911274715622542
1.5,straight_ahead,target,adults,0.8052915466886055,0.9394681850012733,0.8783366143660262
1.5,straight_ahead,target,children,0.5576475162820271,0.6677517870112979,0.6152033051489573
1.5333333333333334,gaze,NA,adults,NA,NA,NaN
1.5333333333333334,gaze,NA,children,NA,NA,NaN
1.5333333333333334,straight_ahead,NA,adults,NA,NA,NaN
1.5333333333333334,straight_ahead,NA,children,NA,NA,NaN
1.5666666666666667,gaze,NA,adults,NA,NA,NaN
1.5666666666666667,gaze,NA,children,NA,NA,NaN
1.5666666666666667,straight_ahead,NA,adults,NA,NA,NaN
1.5666666666666667,straight_ahead,NA,children,NA,NA,NaN
1.6,gaze,center,adults,0.047954946401637576,0.18070522920706744,0.10726944624003448
1.6,gaze,center,children,0.4449594947624839,0.5896167691004647,0.5191724036832732
