time_ms_normalized,gaze_condition,trial_type,age_category,target_looking,m,n
1551,gaze,test,adults,target,0.7867063492063492,30
1551,straight_ahead,exposure,children,center,0.321225937183384,47
1551,straight_ahead,exposure,children,distracter,0.33287740628166157,47
1551,straight_ahead,exposure,children,target,0.3458966565349544,47
1551,straight_ahead,exposure,adults,center,0.12678571428571428,30
1551,straight_ahead,exposure,adults,distracter,0.16563492063492063,30
1551,straight_ahead,exposure,adults,target,0.707579365079365,30
1551,straight_ahead,test,children,center,0.36656534954407294,47
1551,straight_ahead,test,children,distracter,0.2675278622087133,47
1551,straight_ahead,test,children,target,0.3659067882472138,47
1551,straight_ahead,test,adults,center,0.12245484400656814,29
1551,straight_ahead,test,adults,distracter,0.07393267651888341,29
1551,straight_ahead,test,adults,target,0.8036124794745484,29
1584,gaze,exposure,children,center,0.425491718426501,46
1584,gaze,exposure,children,distracter,0.2404503105590062,46
1584,gaze,exposure,children,target,0.33405797101449275,46
1584,gaze,exposure,adults,center,0.24059934318555007,29
1584,gaze,exposure,adults,distracter,0.07105911330049261,29
1584,gaze,exposure,adults,target,0.6883415435139573,29
1584,gaze,test,children,center,0.3337301587301587,45
1584,gaze,test,children,distracter,0.2546031746031746,45
1584,gaze,test,children,target,0.4116666666666667,45
1584,gaze,test,adults,center,0.1875,30
1584,gaze,test,adults,distracter,0.03722222222222222,30
1584,gaze,test,adults,target,0.7752777777777777,30
1584,straight_ahead,exposure,children,center,0.33394123606889564,47
1584,straight_ahead,exposure,children,distracter,0.3280901722391084,47
1584,straight_ahead,exposure,children,target,0.33796859169199595,47
1584,straight_ahead,exposure,adults,center,0.13095238095238096,29
1584,straight_ahead,exposure,adults,distracter,0.1766830870279146,29
1584,straight_ahead,exposure,adults,target,0.6923645320197044,29
1584,straight_ahead,test,children,center,0.36942755825734547,47
1584,straight_ahead,test,children,distracter,0.2680851063829787,47
1584,straight_ahead,test,children,target,0.3624873353596758,47
