subid,trial_num_full,trial_num,trial_type,ss_looking_char,look,correct,count_looks,total_looks,prop_looking,m_correct,m_gaze_follow,num_shifts,rt,shift_start,shift_end,shift_correct,shift_type,condition
020816_01,2_exposure,2,exposure,left,right,TRUE,18,106,0.17,0.29,0.71,4,0.567,left,right,FALSE,image_away,gaze
020816_01,2_exposure,2,exposure,right,right,FALSE,44,106,0.42,0.29,0.71,4,0.567,left,right,FALSE,image_away,gaze
020816_01,2_test,2,test,face,straightahead,FALSE,71,112,0.63,0.41,0,3,0.1,face,left,TRUE,face_target,gaze
020816_01,2_test,2,test,left,straightahead,TRUE,17,112,0.15,0.41,0,3,0.1,face,left,TRUE,face_target,gaze
020816_01,2_test,2,test,right,straightahead,FALSE,24,112,0.21,0.41,0,3,0.1,face,left,TRUE,face_target,gaze
020816_01,3_exposure,3,exposure,face,right,FALSE,36,101,0.36,0.88,0.88,2,0.267,face,left,FALSE,face_distracter,gaze
020816_01,3_exposure,3,exposure,left,right,FALSE,8,101,0.08,0.88,0.88,2,0.267,face,left,FALSE,face_distracter,gaze
020816_01,3_exposure,3,exposure,right,right,TRUE,57,101,0.56,0.88,0.88,2,0.267,face,left,FALSE,face_distracter,gaze
020816_01,3_test,3,test,face,straightahead,FALSE,25,109,0.23,0.83,0,3,0.267,right,left,FALSE,target_distracter,gaze
020816_01,3_test,3,test,left,straightahead,FALSE,14,109,0.13,0.83,0,3,0.267,right,left,FALSE,target_distracter,gaze
020816_01,3_test,3,test,right,straightahead,TRUE,70,109,0.64,0.83,0,3,0.267,right,left,FALSE,target_distracter,gaze
020816_01,4_exposure,4,exposure,face,right,FALSE,50,107,0.47,0.3,0.7,5,0.2,face,left,TRUE,face_target,gaze
020816_01,4_exposure,4,exposure,left,right,TRUE,17,107,0.16,0.3,0.7,5,0.2,face,left,TRUE,face_target,gaze
020816_01,4_exposure,4,exposure,right,right,FALSE,40,107,0.37,0.3,0.7,5,0.2,face,left,TRUE,face_target,gaze
